Term,Subject,Catalog,Section,Component,Descr,Instructor,Mtg1 Start,Mtg1 End,Mtg1 Days,Mtg2 Start,Mtg2 End,Mtg2 Days,Prereqs,Division,WI,QFR,EDI
1151,AFR,200,1,LEC,Intro to Africana Studies,Roberts,02:35 PM,03:50 PM,MR,,,,none,D2,,,
1151,AFR,211,1,LEC,Race and the Environment,Manigault-Bryant,11:20 AM,12:35 PM,TR,,,,none,D2,,,EDI
1151,AFR,221,1,SEM,Giving God a Backbeat,Ford,08:30 AM,09:45 AM,TR,,,,none,D2,,,
1151,AFR,248,1,SEM,The Caribbean,Singham,01:10 PM,02:25 PM,MR,,,,none; open to all,D2,,,EDI
1151,AFR,302,1,SEM,Complexion Complexities,Ford,01:10 PM,02:25 PM,MR,,,,none,D2,,,
1151,AFR,332,1,LEC,Hiphop and The Changing Same,Tate,11:00 AM,12:15 PM,MW,,,,none,D2,,,
1151,AFR,338,T1,TUT,Garveyism,Roberts,,,TBA,,,,none; open to all,D2,WAC,,
1151,AFR,405,1,SEM,Afr Studies & the Disciplines,Manigault-Bryant,01:10 PM,03:50 PM,W,,,,none,D2,,,
1151,AMST,201,1,SEM,Intro to American Studies,Andrews,02:35 PM,03:50 PM,TF,,,,none,D2,,,EDI
1151,AMST,327,1,LEC,Feeling the Present,Andrews,01:10 PM,02:25 PM,TF,,,,none,D2,,,
1151,AMST,340,1,SEM,Aesthetics of Transnationalism,Schultermandl,01:10 PM,02:25 PM,T,11:15 AM,12:30 PM,R,,D2,WAC,,EDI
1151,ANSO,305,1,SEM,Social Theory,Shevchenko,02:35 PM,03:50 PM,MR,,,,ANTH 101 or SOC 101 or ANSO 205 or permission of the instructor,D2,,,
1151,ANTH,101,1,LEC,The Scope of Anthropology,Just,11:20 AM,12:35 PM,TR,,,,first-year students and sophomores,D2,,,EDI
1151,ANTH,208,1,SEM,Afghanistan Post-Mortem,Edwards,01:10 PM,02:25 PM,MR,,,,none,D2,,,
1151,ANTH,211,1,SEM,"Black, Indian, Other in Brazil",Sullivan,01:10 PM,03:50 PM,W,,,,none; open to first year students,D2,,,EDI
1151,ANTH,220,1,SEM,Law Family South Asia,Kowalski,01:10 PM,02:25 PM,TF,,,,none; open to first year students,D2,,,
1151,ANTH,222,1,SEM,"Heroes, Saints and Celebrity",Edwards,11:00 AM,12:15 PM,MWF,,,,none,D2,WAC,,
1151,ANTH,272,1,SEM,Sex in Society,Gutschow,01:10 PM,03:50 PM,W,,,,none,D2,,,
1151,ANTH,312,1,SEM,Violence Against Women,Kowalski,01:10 PM,02:25 PM,MR,,,,none; open to first year students,D2,WAC,,
1151,ANTH,326,1,TUT,Time and Space,Sullivan,,,TBA,,,,none; open to first year students,D2,,,
1151,ANTH,328,T1,TUT,Emotions and the Self,Just,,,TBA,,,,none; open to first-year students,D2,WAC,,EDI
1151,ARAB,101,1,LEC,Elementary Arabic,Vargas,09:00 AM,09:50 AM,MWF,08:55 AM,09:45 AM,TR,none,D1,,,
1151,ARAB,101,2,LEC,Elementary Arabic,Eqeiq,10:00 AM,10:50 AM,M-F,,,,none,D1,,,
1151,ARAB,201,1,LEC,Intermediate Arabic I,Vargas,12:00 PM,12:50 PM,MWF,,,,ARAB 101-102 or permission of instructor,D1,,,
1151,ARAB,201,2,CON,Intermediate Arabic I,Vargas,02:10 PM,03:00 PM,W,,,,ARAB 101-102 or permission of instructor,D1,,,
1151,ARAB,252,1,SEM,Arab Women Memoirs,Eqeiq,01:10 PM,02:25 PM,MR,,,,none,D1,,,
1151,ARAB,301,1,LEC,Advanced Arabic I,Al-Shalchi,02:35 PM,03:50 PM,MR,,,,two semesters of Intermediate Arabic or permission of the instructor,D1,,,
1151,ARTH,101,1,LEC,Art Through Time,Low,10:00 AM,10:50 AM,MWF,,,,none,D1,,,
1151,ARTH,101,2,LEC,Art Through Time,Low,12:00 PM,12:50 PM,MWF,,,,none,D1,,,
1151,ARTH,101,3,CON,Art Through Time,Solum,09:55 AM,11:10 AM,T,,,,none,D1,,,
1151,ARTH,101,4,CON,Art Through Time,Apotsos,11:20 AM,12:35 PM,T,,,,none,D1,,,
1151,ARTH,101,5,CON,Art Through Time,McGowan,01:10 PM,02:25 PM,T,,,,none,D1,,,
1151,ARTH,101,6,CON,Art Through Time,Low,02:35 PM,03:50 PM,T,,,,none,D1,,,
1151,ARTH,101,7,CON,Art Through Time,Apotsos,08:30 AM,09:35 AM,W,,,,none,D1,,,
1151,ARTH,101,8,CON,Art Through Time,Apotsos,01:10 PM,02:25 PM,W,,,,none,D1,,,
1151,ARTH,101,9,CON,Art Through Time,McGowan,02:35 PM,03:50 PM,W,,,,none,D1,,,
1151,ARTH,101,10,CON,Art Through Time,McGowan,08:30 AM,09:35 AM,R,,,,none,D1,,,
1151,ARTH,101,11,CON,Art Through Time,Solum,09:55 AM,11:10 AM,R,,,,none,D1,,,
1151,ARTH,101,12,CON,Art Through Time,Solum,11:20 AM,12:35 PM,R,,,,none,D1,,,
1151,ARTH,101,13,CON,Art Through Time,Low,01:10 PM,02:25 PM,R,,,,none,D1,,,
1151,ARTH,101,14,CON,Art Through Time,Low,02:35 PM,03:50 PM,R,,,,none,D1,,,
1151,ARTH,103,1,LEC,Asian Art Survey,Jang,11:20 AM,12:35 PM,TR,,,,none; highly recommended for first-year students,D1,,,EDI
1151,ARTH,221,1,LEC,History of Photography,Howe,08:30 AM,09:45 AM,MW,,,,none,D1,,,
1151,ARTH,244,1,LEC,"Town Planning, 1500 to 1800",Lewis,08:30 AM,09:45 AM,TR,,,,ARTH 101-102,D1,,,
1151,ARTH,253,1,LEC,"Art Age Revolution, 1760-1860",Ockman,11:00 AM,12:15 PM,MW,,,,"two semesters of ARTH 101-102, 103 or permission of instructor",D1,,,
